"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",988.713970386754,639.720058080979,494.408865583472,832.634998036942,2955.47789208815
"light goods",170.346351373605,97.5466877057591,99.0609719903963,137.204202527358,504.158213597118
"heavy goods",86.1619171462303,26.2832901157406,14.0487821126447,12.7841283896763,139.278117764292
"motorcycle",10.3143808365139,9.42154858564185,7.63323983306585,15.8578816521126,43.2270509073342
"bus",7.11146820346562,11.4960719354101,4.67933883108317,16.2298585183856,39.5167374883445
"cyclist",1.48697896448699,6.98045497760589,10.4285483672525,29.0219704433445,47.9179527526899
"car/taxi",3579,1873,1907,1803,9162
"light goods",510,226,278,234,1248
"heavy goods",1339,484,274,231,2328
"motorcycle",94,107,62,64,327
"bus",160,287,87,216,750
"cyclist",7,13,13,16,49
"car/taxi",3.61985377692196,2.92784316567874,3.85713148114663,2.1654146225547,3.10000627124527
"light goods",2.99390034413747,2.31683930346983,2.80635243541676,1.70548711839451,2.47541340464463
"heavy goods",15.5405084328324,18.4147417567841,19.5034699665094,18.069280357552,16.7147577621619
"motorcycle",9.11348935917032,11.3569440339208,8.12237023281083,4.03584800315836,7.56470758787107
"bus",22.4988701942065,24.9650490717603,18.5923702344635,13.3088036322257,18.9792995998522
"cyclist",4.70753128805355,1.86234279022005,1.24657809909789,0.551306467327383,1.02258124951403
"car/taxi",585,1025,343,998,2951
"light goods",59,92,38,124,313
"heavy goods",122,231,26,114,493
"motorcycle",20,87,13,47,167
"bus",17,195,14,141,367
"cyclist",1,11,5,12,29
"car/taxi",0.591677691952877,1.6022633448055,0.693757786068848,1.19860443333865,0.998484883916698
"light goods",0.346353177066884,0.943138123536391,0.383602131459845,0.903762404619313,0.620836855491803
"heavy goods",1.41593878178159,8.78885402028334,1.8506942303987,8.91730718944124,3.53968023056093
"motorcycle",1.93904028918517,9.23415075655241,1.70307762946034,2.96382587731942,3.86332161215434
"bus",2.39050495813444,16.9623155714051,2.99187566991367,8.68769125992513,9.28720393752766
"cyclist",0.672504469721936,1.57582851480158,0.47945311503765,0.413479850495537,0.60520114767157
