"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",319.021901390317,248.652343764207,213.450350087512,392.449975704911,1173.57457094695
"van",8.14529838851212,4.83010296553701,5.69942705084828,9.68959972121602,28.3644281261134
"lorry",3.44647668584921,1.05133160462962,0.561951284505787,0.51136513558705,5.57112471057167
"motorcycle",0.351035125980308,0.435370103703988,0.36705464398654,1.27160798893939,2.42506786261023
"bus",0.586696126785914,0.948425934671335,0.386045453564361,1.33896332776681,3.26013084278842
"cyclist",0.120831645081182,1.49461954728437,1.81233154923331,6.4285977750402,9.85638051663907
"car/taxi",935,391,500,525,2351
"van",18,2,12,5,37
"lorry",20,4,1,0,25
"motorcycle",0,0,0,1,1
"bus",13,17,1,15,46
"cyclist",1,0,1,2,4
"car/taxi",2.93083326230962,1.57247663175368,2.34246512031958,1.33775011466622,2.00328130670299
"van",2.20986379398779,0.414069847841772,2.10547479473642,0.516017187898089,1.30445076613183
"lorry",5.80302779418686,3.80469871007937,1.77951368307568,0,4.48742422738454
"motorcycle",0,0,0,0.786405880348447,0.412359594309929
"bus",22.157978221567,17.9244360350512,2.5903685453798,11.2026966601227,14.1098631368598
"cyclist",8.27597769879021,0,0.551775419030276,0.311109836077354,0.405828487774736
"car/taxi",133,200,79,280,692
"van",1,0,0,4,5
"lorry",0,1,0,0,1
"motorcycle",0,0,0,1,1
"bus",3,10,1,10,24
"cyclist",0,0,0,1,1
"car/taxi",0.416899276884684,0.804335873019787,0.370109489010493,0.713466727821984,0.589651494784546
"van",0.122770210777099,0,0,0.412813750318472,0.176277130558356
"lorry",0,0.951174677519842,0,0,0.179496969095382
"motorcycle",0,0,0,0.786405880348447,0.412359594309929
"bus",5.11337958959239,10.5437859029713,2.5903685453798,7.46846444008177,7.36166772357902
"cyclist",0,0,0,0.155554918038677,0.101457121943684
