"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",597.616650970373,394.054945830015,257.484906230186,485.760181535024,1734.9166845656
"light goods",150.198458050291,91.0279333335791,88.933520168167,133.308352362273,463.468263914311
"heavy goods",82.7154404603811,25.231958511111,13.4868308281389,12.2727632540892,133.70699305372
"motorcycle",9.37633373451966,8.62946263496335,6.34062027270788,15.8357498716387,40.1821665138296
"bus",6.52477207667971,10.5476460007388,4.2932933775188,14.8908951906188,36.2566066455561
"cyclist",1.35919035287453,7.51653393937092,8.73858378796194,20.4295114552149,38.0438195354223
"car/taxi",2644,1482,1407,1278,6811
"light goods",492,224,266,229,1211
"heavy goods",1319,480,273,231,2303
"motorcycle",94,107,62,63,326
"bus",147,270,86,201,704
"cyclist",6,13,12,14,45
"car/taxi",4.42424085022871,3.76089683858275,5.46439797423376,2.63092787054193,3.92583693533698
"light goods",3.27566611792555,2.46078310027246,2.99099821413808,1.71782184643374,2.61290814126574
"heavy goods",15.946236792776,19.0234935503968,20.2419681449858,18.8221670391167,17.2242299927777
"motorcycle",10.0252404256828,12.3993815752184,9.77822316010129,3.97834018033026,8.11305184074133
"bus",22.5295226059152,25.5981287181129,20.0312423209479,13.4981810983821,19.4171508349441
"cyclist",4.41439272086555,1.72952056158586,1.37322022551651,0.685283151811558,1.18284653196036
"car/taxi",452,825,264,718,2259
"light goods",58,92,38,120,308
"heavy goods",122,230,26,114,492
"motorcycle",20,87,13,46,166
"bus",14,185,13,131,343
"cyclist",1,11,5,11,28
"car/taxi",0.756337694517163,2.09361666115436,1.02530281819311,1.47809562679898,1.30207981749027
"light goods",0.386155761869272,1.01067877332619,0.427285459162582,0.900168653153051,0.664554671767009
"heavy goods",1.47493623102249,9.11542399289849,1.92780648999865,9.28886165566796,3.67968786645532
"motorcycle",2.13302987780485,10.0817401592897,2.05027259808576,2.9048198142094,4.13118590663516
"bus",2.14566881961098,17.5394585661144,3.02797849037584,8.79732200939333,9.46034479600261
"cyclist",0.735732120144258,1.46344047518804,0.572175093965212,0.538436762137653,0.735993397664223
