"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",988.713970386754,639.720058080979,494.408865583472,832.634998036942,2955.47789208815
"van",170.346351373605,97.5466877057591,99.0609719903963,137.204202527358,504.158213597118
"lorry",86.1619171462303,26.2832901157406,14.0487821126447,12.7841283896763,139.278117764292
"motorcycle",10.3143808365139,9.42154858564185,7.63323983306585,15.8578816521126,43.2270509073342
"bus",7.11146820346562,11.4960719354101,4.67933883108317,16.2298585183856,39.5167374883445
"cyclist",1.48697896448699,6.98045497760589,10.4285483672525,29.0219704433445,47.9179527526899
"car/taxi",27897,40702,23088,55152,146839
"van",3070,3438,2200,4227,12935
"lorry",4060,1930,1389,1321,8700
"motorcycle",739,1657,624,1307,4327
"bus",585,2380,577,2177,5719
"cyclist",128,571,261,611,1571
"car/taxi",28.2154402947169,63.6247050344133,46.698191733987,66.2379075225385,49.6836739645693
"van",18.0221059931413,35.2446616165012,22.2085444529384,30.8080942284342,25.6566285168897
"lorry",47.1205856887973,73.4306851045318,98.8697802316846,103.331252607473,62.4649452451928
"motorcycle",71.6475386853922,175.87342302997,81.7477262140961,82.4195834394995,100.099356980789
"bus",82.2614941475676,207.027236204841,123.308018681442,134.135488459979,144.723485882073
"cyclist",86.0805721244079,81.799825631973,25.0274526049653,21.0530157210644,32.7852069997254
"car/taxi",2084,14259,3382,23414,43139
"van",157,923,268,1520,2868
"lorry",181,479,131,418,1209
"motorcycle",85,1160,123,819,2187
"bus",74,1337,107,1281,2799
"cyclist",17,321,59,367,764
"car/taxi",2.1077885641535,22.2894371059333,6.84049222298788,28.1203649320554,14.596285803891
"van",0.921651674567811,9.46213573939227,2.70540450608522,11.0783778630754,5.68869042028911
"lorry",2.10069606149564,18.2245068212802,9.32465169931654,32.6967930279512,8.68047342545265
"motorcycle",8.24092122903699,123.122010087365,16.1137344941247,51.6462424154171,50.5933195555781
"bus",10.4057274648205,116.300594456249,22.8664783343402,78.9285993188942,70.8307461066483
"cyclist",11.4325759852729,45.9855412046643,5.65754675744427,12.6455920943219,15.9439198903821
