"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",319.021901390317,248.652343764207,213.450350087512,392.449975704911,1173.57457094695
"van",8.14529838851212,4.83010296553701,5.69942705084828,9.68959972121602,28.3644281261134
"lorry",3.44647668584921,1.05133160462962,0.561951284505787,0.51136513558705,5.57112471057167
"motorcycle",0.351035125980308,0.435370103703988,0.36705464398654,1.27160798893939,2.42506786261023
"bus",0.586696126785914,0.948425934671335,0.386045453564361,1.33896332776681,3.26013084278842
"cyclist",0.120831645081182,1.49461954728437,1.81233154923331,6.4285977750402,9.85638051663907
"car/taxi",8348,10966,7195,16859,43368
"van",115,90,76,143,424
"lorry",51,23,36,9,119
"motorcycle",38,58,25,51,172
"bus",27,156,49,141,373
"cyclist",19,57,34,78,188
"car/taxi",26.1674824318296,44.101735917675,33.7080730813987,42.958341301253,36.9537659332604
"van",14.1185742393664,18.6331431528797,13.3346736999973,14.7580915738854,14.9483006713486
"lorry",14.7977208751765,21.8770175829564,64.0624925907243,17.599948400213,21.3601393223504
"motorcycle",108.251275122056,133.219988020663,68.1097498957587,40.1066998977708,70.9258502213078
"bus",46.0204163063315,164.483060086352,126.92805872361,105.305348605153,114.412585870624
"cyclist",157.243576277014,38.1367954832154,18.7603642470294,12.1332836070168,19.0739389254126
"car/taxi",620,3715,1110,7364,12809
"van",9,23,7,59,98
"lorry",0,7,5,4,16
"motorcycle",5,37,2,21,65
"bus",3,95,5,83,186
"cyclist",4,18,6,35,63
"car/taxi",1.94344023810905,14.9405388413426,5.20027256710946,18.7641749417182,10.9145173362648
"van",1.10493189699389,4.76180325018038,1.22819363026291,6.08900281719746,3.45503175894378
"lorry",0,6.6582227426389,8.89756841537838,7.82219928898354,2.87195150552611
"motorcycle",14.2435888318495,84.9851647718022,5.44877999166069,16.5145234873174,26.8033736301454
"bus",5.11337958959239,100.165966078227,12.951842726899,61.9882548526787,57.0529248577374
"cyclist",33.1039107951609,12.043198573647,3.31065251418166,5.44442213135369,6.39179868245209
