"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",597.616650970373,394.054945830015,257.484906230186,485.760181535024,1734.9166845656
"van",150.198458050291,91.0279333335791,88.933520168167,133.308352362273,463.468263914311
"lorry",82.7154404603811,25.231958511111,13.4868308281389,12.2727632540892,133.70699305372
"motorcycle",9.37633373451966,8.62946263496335,6.34062027270788,15.8357498716387,40.1821665138296
"bus",6.52477207667971,10.5476460007388,4.2932933775188,14.8908951906188,36.2566066455561
"cyclist",1.35919035287453,7.51653393937092,8.73858378796194,20.4295114552149,38.0438195354223
"car/taxi",18382,26228,14337,32341,91288
"van",2784,3021,1984,3498,11287
"lorry",3754,1761,1239,1188,7942
"motorcycle",676,1463,569,1100,3808
"bus",519,2046,487,1907,4959
"cyclist",101,453,211,464,1229
"car/taxi",30.7588484526869,66.5592458045535,55.6809337289193,66.5781207051615,52.6180887025462
"van",18.5354765697251,33.1876149371568,22.3087987099622,26.2399162394114,24.353339546215
"lorry",45.3845132070364,69.7924419630184,91.8673938887818,96.7997162011714,59.3985386898134
"motorcycle",72.096409869804,169.535469575182,89.7388544854458,69.463082513703,94.768409231727
"bus",79.5430083841498,193.976930952811,113.432732677926,128.064832610024,136.77507242967
"cyclist",74.30894413457,60.2671395691074,24.1457889653319,22.7122416028974,32.3048530617618
"car/taxi",1332,9271,1948,13659,26210
"van",134,826,234,1333,2527
"lorry",166,439,103,385,1093
"motorcycle",76,1031,113,686,1906
"bus",67,1159,95,1148,2469
"cyclist",13,261,48,289,611
"car/taxi",2.22885355994881,23.527175837045,7.56549200697041,28.1188136022943,15.1073537035945
"van",0.892152967077284,9.07413768225471,2.63117888010643,9.9993734554418,5.45236901154296
"lorry",2.00688044548962,17.3985701429671,7.63707955653311,31.3702783985278,8.17459113421884
"motorcycle",8.10551353565844,119.474414991123,17.8216002756685,43.3197041858184,47.4339779400398
"bus",10.268557922424,109.882337719603,22.1275351219773,77.0940890594163,68.0979338231208
"cyclist",9.56451756187535,34.7234512749162,5.49288090206603,14.1462022052529,16.0604273561729
