"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",1167,3508,1556,5952,12183
"van",171,327,140,586,1224
"lorry",255,146,114,124,639
"motorcycle",25,136,30,156,347
"bus",39,178,41,129,387
"cyclist",8,61,16,69,154
"car/taxi",132,1273,324,2391,4120
"van",14,74,27,128,243
"lorry",15,33,23,29,100
"motorcycle",4,92,8,112,216
"bus",4,83,7,50,144
"cyclist",0,42,5,43,90
"NOV",12619,6872,14535,8936,42962
"other or unknown",518,456,618,608,2200
"pedestrian",60,414,68,292,834
"NOV",0,0,0,0,0
"other or unknown",32,184,66,330,612
"pedestrian",0,0,0,0,0
