"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",988.713970386754,639.720058080979,494.408865583472,832.634998036942,2955.47789208815
"van",170.346351373605,97.5466877057591,99.0609719903963,137.204202527358,504.158213597118
"lorry",86.1619171462303,26.2832901157406,14.0487821126447,12.7841283896763,139.278117764292
"motorcycle",10.3143808365139,9.42154858564185,7.63323983306585,15.8578816521126,43.2270509073342
"bus",7.11146820346562,11.4960719354101,4.67933883108317,16.2298585183856,39.5167374883445
"cyclist",1.48697896448699,6.98045497760589,10.4285483672525,29.0219704433445,47.9179527526899
"car/taxi",211917,408733,163837,505537,1290024
"van",23537,35561,14872,35882,109852
"lorry",24423,17855,7626,9592,59496
"motorcycle",3719,10390,3172,9253,26534
"bus",3618,16516,3321,15028,38483
"cyclist",588,3409,853,3915,8765
"car/taxi",214.336002471073,638.924784109647,331.379575499014,607.15319580834,436.485755299815
"van",138.17143607836,364.553639250844,150.129760501863,261.522601633469,217.891917729986
"lorry",283.454695634852,679.328954684671,542.822853885404,750.305355799302,427.174066931953
"motorcycle",360.564541773983,1102.79110759287,415.550941588322,583.495337081629,613.828596747923
"bus",508.755702266495,1436.66463578116,709.715649984521,925.947689745779,973.840515334814
"cyclist",395.432628196499,488.363582450781,81.7947014254231,134.897801224169,182.916829632459
"car/taxi",4553,47758,12686,100885,165882
"van",384,3154,1053,6260,10851
"lorry",222,951,331,1433,2937
"motorcycle",194,4798,367,3138,8497
"bus",161,4673,428,5404,10666
"cyclist",51,1376,99,1323,2849
"car/taxi",4.60497184865205,74.6545295816793,25.6589249972869,121.163535328026,56.1269635763706
"van",2.25423084735057,32.3332352351498,10.629816958611,45.6254246202976,21.5230054918261
"lorry",2.57654434061897,36.1826847328548,23.560761163922,112.092115811134,21.0873039293254
"motorcycle",18.8086908050962,509.258107240672,48.0791915393802,197.882672404858,196.566728972907
"bus",22.6394881329203,406.486670077825,91.4659133373608,332.966550132166,269.910946042698
"cyclist",34.2977279558188,197.121821487907,9.49317167774547,45.586153517133,59.4557955074587
