"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",319.021901390317,248.652343764207,213.450350087512,392.449975704911,1173.57457094695
"light goods",8.14529838851212,4.83010296553701,5.69942705084828,9.68959972121602,28.3644281261134
"heavy goods",3.44647668584921,1.05133160462962,0.561951284505787,0.51136513558705,5.57112471057167
"motorcycle",0.351035125980308,0.435370103703988,0.36705464398654,1.27160798893939,2.42506786261023
"bus",0.586696126785914,0.948425934671335,0.386045453564361,1.33896332776681,3.26013084278842
"cyclist",0.120831645081182,1.49461954728437,1.81233154923331,6.4285977750402,9.85638051663907
"car/taxi",67391,116407,53912,155018,392728
"light goods",756,1015,555,1169,3495
"heavy goods",309,200,115,103,727
"motorcycle",202,547,141,439,1329
"bus",279,1060,226,1024,2589
"cyclist",71,411,136,525,1143
"car/taxi",211.242550139366,468.151629853072,252.573959133338,395.000661476815,334.642561045875
"light goods",92.8142793474871,210.140447779699,97.3782092565595,120.644818530573,123.217714260291
"heavy goods",89.656779420187,190.234935503968,204.644073553703,201.421631691326,130.494296532342
"motorcycle",575.440988806721,1256.40230081556,384.138989412079,345.232181472968,548.025900837896
"bus",475.544301832092,1117.64130571496,585.423291255835,764.770758664374,794.139905681087
"cyclist",587.594416614105,274.986367431606,75.0414569881176,81.6663319703054,115.965490381631
"car/taxi",1353,13166,4145,31387,50051
"light goods",11,98,38,218,365
"heavy goods",4,13,6,15,38
"motorcycle",6,225,13,148,392
"bus",16,331,19,375,741
"cyclist",7,108,12,107,234
"car/taxi",4.24108813251862,52.9494305208926,19.4190358474493,79.9770720933879,42.6483337651175
"light goods",1.35047231854809,20.2894225442468,6.66733684999867,22.4983493923567,12.86823053076
"heavy goods",1.16060555883737,12.365270807758,10.6770820984541,29.3332473336883,6.8208848256245
"motorcycle",17.0923065982194,516.801677666365,35.4170699457945,116.38807029157,161.644960969492
"bus",27.2713578111594,348.99931338835,49.2170023622162,280.067416503067,227.291490965502
"cyclist",57.9318438915315,72.2591914418819,6.62130502836331,16.6443762301384,23.740966534822
