"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",597.616650970373,394.054945830015,257.484906230186,485.760181535024,1734.9166845656
"light goods",150.198458050291,91.0279333335791,88.933520168167,133.308352362273,463.468263914311
"heavy goods",82.7154404603811,25.231958511111,13.4868308281389,12.2727632540892,133.70699305372
"motorcycle",9.37633373451966,8.62946263496335,6.34062027270788,15.8357498716387,40.1821665138296
"bus",6.52477207667971,10.5476460007388,4.2932933775188,14.8908951906188,36.2566066455561
"cyclist",1.35919035287453,7.51653393937092,8.73858378796194,20.4295114552149,38.0438195354223
"car/taxi",132333,256659,96900,296398,782290
"light goods",21201,31082,12737,29953,94973
"heavy goods",21985,15994,6637,8384,53000
"motorcycle",3393,9091,2796,7694,22974
"bus",3157,13998,2818,12676,32649
"cyclist",472,2661,644,2970,6747
"car/taxi",221.434593204734,651.32794986087,376.332738950427,610.173520323072,450.909260922737
"light goods",141.153246679145,341.455626440485,143.219339298784,224.689597232444,204.918022213403
"heavy goods",265.790762614996,633.878658010515,492.109679773886,683.138737904563,396.389140085634
"motorcycle",361.868518769593,1053.48390561038,440.966321865213,485.862688054937,571.746174813471
"bus",483.848318822275,1327.12076220794,656.372568144548,851.258425886029,900.497951150697
"cyclist",347.26556070809,354.019554952307,73.6961521027193,145.377925777166,177.34812335859
"car/taxi",2572,28876,6417,55723,93588
"light goods",292,2543,779,5022,8636
"heavy goods",173,775,229,1178,2355
"motorcycle",167,4136,300,2437,7040
"bus",128,3891,327,4476,8822
"cyclist",39,1114,69,1008,2230
"car/taxi",4.30376227942067,73.2791208575678,24.9218491831258,114.712984139443,53.9438007787868
"light goods",1.94409452527289,27.9364795713968,8.75935191283294,37.6720581344552,18.6334225499347
"heavy goods",2.09150793415485,30.7150156282449,16.9795263926804,95.9849037752356,17.6131400924843
"motorcycle",17.8107994796705,479.288244814049,47.3139830327482,153.892301896267,175.202101100672
"bus",19.6175434935861,368.897477193249,76.1653051040693,300.586361175913,243.321171400394
"cyclist",28.6935526856261,148.206608123589,7.89601629671993,49.3403869304322,58.6166170282578
